                   12   8.3333333333333329E-002   4.1571359729467572E-003   1.8759302373161368E-005   4.8003127084417230E-007
                   24   4.1666666666666664E-002   1.0384097928567426E-003   1.1656005066695840E-006   7.3129510225200534E-009
                   48   2.0833333333333332E-002   2.5954789053006522E-004   7.2743578383160923E-008   1.1355028028958714E-010
                   96   1.0416666666666666E-002   6.4883564023787699E-005   4.5448125263192196E-009   1.7711387911845122E-012
                  192   5.2083333333333330E-003   1.6220677986455989E-005   2.8402535878768731E-010   2.7200464103316335E-014
                  384   2.6041666666666665E-003   4.0551561836243977E-006   1.7749801628497153E-011   2.2204460492503131E-015
                  768   1.3020833333333333E-003   1.0137882144878319E-006   1.1088907569956064E-012   7.7715611723760958E-016
                 1536   6.5104166666666663E-004   2.5344700327334380E-007   6.8056671409522096E-014   1.2212453270876722E-015
                 3072   3.2552083333333332E-004   6.3361746405199426E-008   6.7723604502134549E-015   1.3322676295501878E-015
                 6144   1.6276041666666666E-004   1.5840432854297148E-008   2.8865798640254070E-015   1.7763568394002505E-015
